Age,Gender,Education Level,Job Title,Years of Experience,Salary
45.0,Male,PhD,Senior Manager,15.0,150000.0
36.0,Female,Bachelor's,Sales Associate,7.0,60000.0
52.0,Male,Master's,Director,20.0,200000.0
42.0,Female,Master's,Product Manager,12.0,120000.0
31.0,Male,Bachelor's,Sales Manager,4.0,80000.0
26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0
48.0,Female,Bachelor's,HR Manager,18.0,140000.0
27.0,Male,Bachelor's,Customer Service Rep,2.0,40000.0
44.0,Male,Bachelor's,Operations Manager,16.0,125000.0
33.0,Female,Master's,Marketing Manager,7.0,90000.0
51.0,Male,Bachelor's,Sales Director,22.0,180000.0
47.0,Male,Master's,VP of Operations,19.0,190000.0
36.0,Female,Bachelor's,Recruiter,9.0,60000.0
41.0,Male,Master's,Financial Manager,13.0,140000.0
28.0,Female,Bachelor's,Social Media Specialist,3.0,45000.0
43.0,Female,PhD,Senior Consultant,15.0,140000.0
50.0,Male,Bachelor's,CEO,25.0,250000.0
31.0,Female,Bachelor's,Accountant,4.0,55000.0
39.0,Female,Bachelor's,Marketing Specialist,10.0,65000.0
46.0,Male,PhD,Senior Manager,20.0,170000.0
35.0,Female,Bachelor's,HR Generalist,7.0,60000.0
26.0,Female,Bachelor's,Customer Success Rep,1.0,40000.0
49.0,Male,Bachelor's,Sales Executive,21.0,160000.0
48.0,Male,Master's,Operations Director,18.0,190000.0
36.0,Female,Bachelor's,Administrative Assistant,8.0,45000.0
41.0,Male,Master's,Strategy Consultant,13.0,130000.0
28.0,Female,Bachelor's,Copywriter,2.0,40000.0
32.0,Male,Bachelor's,Account Manager,5.0,75000.0
45.0,Female,Master's,Director of Marketing,16.0,180000.0
51.0,Female,Bachelor's,Customer Service Manager,22.0,130000.0
40.0,Female,Bachelor's,Event Coordinator,12.0,60000.0
47.0,Male,Master's,VP of Finance,19.0,200000.0
36.0,Male,Bachelor's,Sales Manager,9.0,95000.0
30.0,Female,Bachelor's,Social Media Manager,4.0,55000.0
35.0,Male,Master's,Product Manager,7.0,105000.0
51.0,Female,Master's,Director of Operations,23.0,170000.0
40.0,Female,Bachelor's,HR Manager,12.0,80000.0
38.0,Female,Master's,Digital Marketing Manager,10.0,90000.0
31.0,Female,Bachelor's,Customer Service Representative,5.0,45000.0
34.0,Male,Master's,Business Development Manager,8.0,90000.0
39.0,Female,Bachelor's,Recruiter,11.0,70000.0
42.0,Female,Master's,Creative Director,14.0,120000.0
50.0,Female,Bachelor's,Operations Manager,22.0,160000.0
48.0,Female,Master's,Human Resources Director,20.0,180000.0
30.0,Female,Bachelor's,Content Marketing Manager,3.0,55000.0
36.0,Male,Bachelor's,Technical Recruiter,8.0,70000.0
25.0,Male,Bachelor's,Sales Representative,0.0,30000.0
34.0,Female,Master's,Financial Advisor,10.0,95000.0
27.0,Male,Bachelor's,Junior Account Manager,2.0,45000.0
40.0,Female,Bachelor's,HR Generalist,15.0,80000.0
31.0,Female,Bachelor's,Marketing Coordinator,6.0,55000.0
29.0,Female,Bachelor's,Sales Associate,3.0,40000.0
43.0,Male,Bachelor's,Supply Chain Manager,18.0,105000.0
52.0,Female,Master's,Senior Marketing Manager,25.0,170000.0
39.0,Female,Bachelor's,Training Specialist,12.0,65000.0
38.0,Female,Master's,Public Relations Manager,10.0,90000.0
31.0,Female,Bachelor's,Event Coordinator,5.0,45000.0
35.0,Male,Master's,Product Marketing Manager,8.0,95000.0
49.0,Female,Master's,Senior HR Manager,19.0,150000.0
28.0,Male,Bachelor's,Customer Success Manager,2.0,40000.0
42.0,Female,Master's,Senior Graphic Designer,15.0,110000.0
40.0,Female,Bachelor's,Office Manager,15.0,65000.0
29.0,Female,Bachelor's,Junior HR Generalist,3.0,45000.0
35.0,Male,Master's,Senior Product Manager,10.0,120000.0
42.0,Female,Bachelor's,Sales Manager,17.0,100000.0
53.0,Male,Master's,Director of Marketing,25.0,180000.0
38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0
37.0,Female,Master's,Senior HR Generalist,9.0,95000.0
45.0,Male,Bachelor's,Sales Operations Manager,18.0,110000.0
32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0
50.0,Female,Master's,Director of Operations,21.0,160000.0
40.0,Female,Master's,Senior Training Specialist,12.0,100000.0
27.0,Male,Bachelor's,Junior Sales Representative,1.0,35000.0
39.0,Female,Bachelor's,Administrative Assistant,10.0,55000.0
30.0,Female,Bachelor's,Junior Marketing Manager,4.0,50000.0
43.0,Female,Master's,Senior Product Marketing Manager,14.0,120000.0
41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0
47.0,Male,Bachelor's,Senior Sales Manager,20.0,135000.0
25.0,Female,Master's,Junior Marketing Specialist,1.5,40000.0
38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0
45.0,Male,Master's,Director of Sales,19.0,175000.0
29.0,Female,Bachelor's,Junior Recruiter,3.0,45000.0
36.0,Male,Master's,Senior Business Development Manager,11.0,120000.0
26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0
33.0,Male,Master's,Senior Operations Manager,7.0,115000.0
51.0,Female,PhD,Director of Human Resources,23.0,185000.0
39.0,Female,Bachelor's,Senior Sales Representative,12.0,90000.0
48.0,Male,Master's,Director of Product Management,21.0,175000.0
30.0,Female,Bachelor's,Junior Copywriter,3.0,45000.0
35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0
41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0
27.0,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0
40.0,Female,Bachelor's,Senior Account Manager,14.0,110000.0
31.0,Female,Bachelor's,Junior HR Coordinator,4.0,50000.0
50.0,Female,Master's,Director of Finance,20.0,180000.0
29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0
38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0
46.0,Male,Master's,Director of Operations,20.0,170000.0
29.0,Female,Bachelor's,Junior Sales Representative,2.0,40000.0
27.0,Male,Bachelor's,Junior Product Manager,2.0,40000.0
36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0
50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0
39.0,Female,Bachelor's,Senior Account Executive,12.0,95000.0
47.0,Male,Master's,Director of Business Development,19.0,170000.0
30.0,Female,Bachelor's,Junior Social Media Manager,3.0,45000.0
34.0,Male,Bachelor's,Senior Product Manager,7.0,95000.0
40.0,Female,Master's,Senior Human Resources Specialist,13.0,120000.0
41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0
32.0,Female,Bachelor's,Junior Account Manager,5.0,55000.0
49.0,Female,Master's,Director of Human Capital,21.0,180000.0
30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0
44.0,Male,Bachelor's,Senior Sales Manager,16.0,130000.0
36.0,Male,Bachelor's,Senior Accountant,7.0,90000.0
41.0,Female,PhD,Senior Marketing Director,17.0,160000.0
31.0,Male,Bachelor's,Junior HR Generalist,4.0,50000.0
39.0,Female,Bachelor's,Senior Operations Manager,10.0,120000.0
47.0,Male,Master's,Director of Finance,20.0,170000.0
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0
50.0,Female,PhD,Director of Operations,22.0,180000.0
40.0,Female,Bachelor's,Senior Sales Representative,12.0,100000.0
48.0,Male,Master's,Director of Marketing,19.0,170000.0
31.0,Female,Bachelor's,Junior Social Media Specialist,3.0,45000.0
42.0,Female,Master's,Senior Human Resources Manager,13.0,140000.0
40.0,Female,Bachelor's,Senior Marketing Manager,11.0,105000.0
33.0,Female,Bachelor's,Junior Operations Manager,5.0,70000.0
51.0,Female,Master's,Director of Human Resources,21.0,190000.0
30.0,Male,Bachelor's,Junior Marketing Specialist,3.0,45000.0
42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0
32.0,Male,Bachelor's,Junior Sales Representative,3.0,45000.0
